timestamp,humidity,temperature
2025-08-05 15:19:34,42.0,26.700000762939453
2025-08-05 15:19:45,44.1534538269043,26.809234619140625
2025-08-05 15:20:10,47.325897216796875,26.573814392089844
2025-08-05 15:21:03,43.78914260864258,26.688976287841797
2025-08-05 15:21:22,45.98756408691406,26.654739379882812
2025-08-05 15:22:08,41.2359733581543,26.716983795166016
2025-08-05 15:22:45,46.8763427734375,26.690021514892578
2025-08-05 15:23:02,44.012840270996094,26.64841079711914
2025-08-05 15:23:25,43.65428924560547,26.702621459960938
2025-08-05 15:23:51,45.78919982910156,26.675132751464844
2025-08-05 15:24:12,42.98030471801758,26.699569702148438
2025-08-05 15:24:38,44.532981872558594,26.681407928466797
2025-08-05 15:25:05,46.14323806762695,26.661155700683594
2025-08-05 15:25:29,43.89165496826172,26.6934814453125
2025-08-05 15:25:54,45.23489761352539,26.699359893798828
2025-08-05 15:26:18,42.75693130493164,26.672447204589844
2025-08-05 15:26:44,44.36875915527344,26.685028076171875
2025-08-05 15:27:10,46.00509262084961,26.659255981445312
2025-08-05 15:27:36,43.90824890136719,26.697025299072266
2025-08-05 15:28:01,45.61231231689453,26.67845916748047
2025-08-05 15:28:27,42.83549118041992,26.689598083496094
2025-08-05 15:28:53,44.17499542236328,26.673477172851562
2025-08-05 15:29:19,46.329490661621094,26.66712188720703
2025-08-05 15:29:45,43.5723762512207,26.685840606689453
2025-08-05 15:30:10,45.08367919921875,26.692535400390625
2025-08-05 15:30:36,42.91758728027344,26.6790771484375
2025-08-05 15:31:02,44.290897369384766,26.686805725097656
2025-08-05 15:31:28,46.104835510253906,26.66500473022461
2025-08-05 15:26:17,44.400001525878906,26.700000762939453
2025-08-05 15:26:19,44.70000076293945,26.799999237060547
2025-08-05 15:26:33,39.400001525878906,26.799999237060547
2025-08-05 15:26:35,39.20000076293945,26.700000762939453
2025-08-05 15:26:37,38.79999923706055,26.799999237060547
